OrderID,OrderTransactTime,ExecutionTransactTime,Symbol,Side,OrderQty,LimitPrice,AvgPx,LastMkt
ID78614,20250910-09:17:19.817,20250910-09:17:19.921,LGHL,2,300,2.65,2.657200,ID1516
ID74236,20250910-09:11:41.407,20250910-09:17:20.553,CGTL,2,1000,1,1.000000,ID1516
ID78658,20250910-09:17:23.871,20250910-09:17:23.976,AEHL,2,60,12.5,12.630000,ID1516
ID78623,20250910-09:17:20.239,20250910-09:17:24.947,ABTC,1,72,10.73,10.730000,ID1516
ID78684,20250910-09:17:25.607,20250910-09:17:25.711,GLAD,1,151,23.5,23.285232,ID1516
ID78691,20250910-09:17:25.620,20250910-09:17:25.723,AEHL,2,100,12.01,12.567600,ID1516
ID66634,20250910-09:01:43.317,20250910-09:17:27.012,AMZN,1,68,236.5,236.500000,ID1516
ID78635,20250910-09:17:20.572,20250910-09:17:27.352,JBDI,1,50,2.77,2.770000,ID1516
ID78296,20250910-09:16:52.787,20250910-09:17:27.355,JBDI,1,500,2.74,2.740000,ID1516
ID78734,20250910-09:17:29.033,20250910-09:17:29.136,ITP,2,600,0.2397,0.239700,ID1516
ID78757,20250910-09:17:31.027,20250910-09:17:31.131,HOLO,2,109,4.59,4.650000,ID1516
ID78751,20250910-09:17:30.575,20250910-09:17:36.815,SPHL,1,315,0.7839,0.783900,ID1516
ID78832,20250910-09:17:37.097,20250910-09:17:37.201,NIO,2,1090,5.72,5.720000,ID1516
ID78859,20250910-09:17:38.615,20250910-09:17:38.718,JBDI,1,50,2.75,2.750000,ID1516
ID78872,20250910-09:17:39.420,20250910-09:17:39.523,CDT,2,200,0.668,0.668000,ID1516
ID78879,20250910-09:17:39.899,20250910-09:17:40.002,NVDA,2,200,173,174.190000,ID1516
ID78840,20250910-09:17:37.236,20250910-09:17:41.367,KIDZ,2,1000,1.48,1.480000,ID1516
ID78890,20250910-09:17:41.084,20250910-09:17:41.395,AEHL,1,16,14.06,14.060000,ID1516
ID78863,20250910-09:17:38.761,20250910-09:17:41.611,CGTL,2,111,1.02,1.020000,ID1516
ID78904,20250910-09:17:41.958,20250910-09:17:42.092,CGTL,2,44,1.03,1.030000,ID1516
ID78915,20250910-09:17:42.670,20250910-09:17:42.773,DELL,1,46,122.23,122.197826,ID1516
ID78932,20250910-09:17:43.699,20250910-09:17:43.802,EPWK,2,218,0.37,0.371370,ID1516
ID78939,20250910-09:17:44.001,20250910-09:17:44.104,DSY,1,20,1.94,1.920000,ID1516
ID71897,20250910-09:08:42.459,20250910-09:17:45.389,CGTL,2,1722,1.05,1.050000,ID1516
ID78301,20250910-09:16:54.147,20250910-09:17:45.389,CGTL,2,1600,1.05,1.050000,ID1516
ID78960,20250910-09:17:45.580,20250910-09:17:47.685,AEHL,1,25,14.22,14.220000,ID1516
ID78869,20250910-09:17:39.338,20250910-09:17:49.066,MWYN,1,30,2.54,2.540000,ID1516
ID78884,20250910-09:17:40.057,20250910-09:17:49.067,MWYN,1,982,2.53,2.530000,ID1516
ID79010,20250910-09:17:49.708,20250910-09:17:49.809,MWYN,1,100,2.61,2.560000,ID1516
ID79014,20250910-09:17:49.847,20250910-09:17:49.950,HOOD,1,10,118.73,118.730000,ID1516
ID79031,20250910-09:17:50.417,20250910-09:17:50.519,MWYN,1,500,2.54,2.540000,ID1516
ID78943,20250910-09:17:44.016,20250910-09:17:51.226,JBDI,2,32,2.79,2.790000,ID1516
ID77300,20250910-09:15:23.753,20250910-09:17:51.227,JBDI,2,10,2.8,2.800000,ID1516
ID70429,20250910-09:06:45.152,20250910-09:17:52.241,AEHL,2,3,15.13,15.130000,ID1516
ID77342,20250910-09:15:29.746,20250910-09:17:52.289,ASST,1,15,13.6,13.600000,ID1516
ID79060,20250910-09:17:52.449,20250910-09:17:52.553,BMNR,2,30,44.88,44.910000,ID1516
ID79076,20250910-09:17:53.305,20250910-09:17:53.408,JBDI,2,231,2.76,2.780000,ID1516
ID79084,20250910-09:17:53.580,20250910-09:17:53.683,BIYA,2,492,0.74,0.741260,ID1516
ID79073,20250910-09:17:53.065,20250910-09:17:53.954,ASST,2,7,13.64,13.640000,ID1516
ID79099,20250910-09:17:54.454,20250910-09:17:54.558,NVO,1,300,54.56,54.560000,ID1516
ID61256,20250910-08:55:19.432,20250910-09:17:55.338,CUPR,2,43,2.83,2.830000,ID1516
ID79110,20250910-09:17:55.323,20250910-09:17:55.477,ASST,1,256,13.67,13.670000,ID1516
